name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
college park,2023-04-01T00:00:00,60.3,60.3,54.8,82.1,0,0,,0,0,26.1,15.7,214,1013.7,100,9.9,0,0,0,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,74594013705"
college park,2023-04-01T01:00:00,61.1,61.1,55.7,82.54,0,0,,0,0,28.3,19.3,212,1011.7,92,9.9,0,0,0,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,74594013705"
college park,2023-04-01T02:00:00,60.4,60.4,57.9,91.26,0.006,100,rain,0,0,28.4,18,217,1010.7,98.2,9.9,0,0,0,10,"Rain, Overcast",rain,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2023-04-01T03:00:00,61.4,61.4,58.9,91.49,0.011,100,rain,0,0,31.9,21.1,214,1009.4,100,9.9,0,0,0,10,"Rain, Overcast",rain,"KDCA,72405013743,KGAI,KADW,72033493764,74594013705"
college park,2023-04-01T04:00:00,62.4,62.4,59.8,91.14,0,0,,0,0,29.6,18.4,212,1007.3,100,9.9,0,0,0,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,74594013705"
college park,2023-04-01T05:00:00,63.2,63.2,59.3,87.17,0,0,,0,0,30.4,17.8,209,1006.4,100,9.9,0,0,0,10,Overcast,cloudy,"KDCA,72405013743,KGAI,KADW,72033493764,74594013705"
college park,2023-04-01T06:00:00,63.9,63.9,59.5,85.56,0.001,100,rain,0,0,34.3,21.2,214,1005.1,95.6,9.9,0,0,0,10,"Rain, Overcast",rain,"KDCA,72405013743,KADW,72033493764,74594013705"
college park,2023-04-01T07:00:00,64.1,64.1,59.8,85.7,0.012,100,rain,0,0,32.6,19.6,209,1004.3,95.2,8,0,0,0,10,"Rain, Overcast",rain,"KDCA,72405013743,KADW,74594013705"
college park,2023-04-01T08:00:00,63.6,63.6,60.8,90.86,0.03,100,rain,0,0,28.1,17.5,210,1003.9,95.6,9.9,1,0,0,10,"Rain, Overcast",rain,"KDCA,72405013743,PREM2,KADW,72033493764,74594013705"
college park,2023-04-01T09:00:00,64,64,61.3,90.66,0.02,100,rain,0,0,28.2,19.1,217,1003.9,100,9.9,12,0,0,10,"Rain, Overcast",rain,"KDCA,72405013743,PREM2,KADW,72033493764,74594013705"
college park,2023-04-01T10:00:00,64.1,64.1,61.7,91.97,0.027,100,rain,0,0,29.1,18.3,219,1003.6,100,8.6,59,0.2,1,10,"Rain, Overcast",rain,"KDCA,72405013743,KADW,PWDM2,74594013705"
college park,2023-04-01T11:00:00,61.3,61.3,58.3,89.86,0.037,100,rain,0,0,30,8.6,263,1004.1,100,8.5,42,0.2,0,10,"Rain, Overcast",rain,"KDCA,72405013743,PREM2,KGAI,KADW,72033493764,74594013705"
college park,2023-04-01T12:00:00,60,60,57.4,91.22,0.104,100,rain,0,0,32.2,5.6,188,1002.9,98.1,9.9,97,0.3,1,10,"Rain, Overcast",rain,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2023-04-01T13:00:00,63.7,63.7,58.5,83.35,0.005,100,rain,0,0,17.2,10.9,201,1001.5,51.5,9.9,154,0.6,2,10,"Rain, Partially cloudy",rain,"KDCA,72405013743,PREM2,KGAI,KADW,72033493764,74594013705"
college park,2023-04-01T14:00:00,69.2,69.2,59.5,71.26,0,0,,0,0,17.2,14.6,191,999.9,40.7,9.9,653,2.4,7,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,PREM2,KGAI,KADW,72033493764,74594013705"
college park,2023-04-01T15:00:00,73.1,73.1,56.4,55.86,0,0,,0,0,27,18.9,202,997.3,27.6,9.9,813,2.9,8,30,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2023-04-01T16:00:00,74.3,74.3,55.2,51.35,0,0,,0,0,31.1,20.2,200,995.1,46.5,9.9,618,2.2,6,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2023-04-01T17:00:00,73,73,55.1,53.41,0.004,100,rain,0,0,31.9,20.3,202,994,41.7,9.9,357,1.3,4,10,"Rain, Partially cloudy",rain,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
college park,2023-04-01T18:00:00,74.4,74.4,51,43.82,0,0,,0,0,27.4,15.7,210,992.9,34.2,9.7,291,1,3,10,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,PREM2,KGAI,KADW,72033493764,74594013705"
college park,2023-04-01T19:00:00,72.8,72.8,41.5,32.42,0.021,100,rain,0,0,41.8,20.4,264,994.9,57,9.9,177,0.6,2,10,"Rain, Partially cloudy",rain,"KDCA,72405013743,PREM2,KGAI,KADW,72033493764,74594013705"
college park,2023-04-01T20:00:00,63.9,63.9,45.1,50.54,0,0,,0,0,44.1,24.9,324,997.8,38.5,9.9,5,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KADW,72033493764,PWDM2,74594013705"
college park,2023-04-01T21:00:00,57.6,57.6,40,51.73,0.028,100,rain,0,0,51,31.9,309,1001.2,65,9.9,1,0,0,10,"Rain, Partially cloudy",rain,"KDCA,72405013743,PREM2,KADW,72033493764,74594013705"
college park,2023-04-01T22:00:00,52.2,52.2,34.7,51.09,0.007,100,rain,0,0,48.9,29,303,1003.8,77.7,9.9,0,0,0,10,"Rain, Partially cloudy",rain,"KDCA,72405013743,KGAI,KADW,72033493764,74594013705"
college park,2023-04-01T23:00:00,48.9,40.9,30,47.84,0.015,100,rain,0,0,50.3,28,297,1005.9,34.2,9.9,0,0,0,10,"Rain, Partially cloudy",rain,"KDCA,72405013743,KGAI,KADW,72033493764,74594013705"
college park,2023-04-02T00:00:00,48.6,41.3,29.3,47.07,0,0,,0,0,42.6,22.6,295,1008.3,89.9,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,74594013705"
college park,2023-04-02T01:00:00,48.6,41.3,29.3,47.07,0,0,,0,0,38.3,22.5,290,1008.9,65,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KGAI,KADW,72033493764,PWDM2,74594013705"
